Filename,MFDMA,Symmetry_X,Symmetry_Y,Amp_Mean,Amp_Variance,Amp_Skewness,Amp_Kurtosis,msgggf_1,msgggf_2,msgggf_3,msgggf_4,msgef_1,msgef_2
0042MR0001940470102262E01_DRCL.JPG,108.44777,13.437212,13.393375,108.44777,216.86563,-0.066660725,4.1608276,0.238418579,0.055252075,0.006820679,0.055252075,0.308023663,0.308181775
0154ML0008510220104513I01_DRCL.JPG,122.83995,14.129963,13.8479805,122.83995,407.07043,0.333112836,1.2100859,0.033325195,0.011749268,0.002197266,0.011749268,0.234828654,0.235163593
0039MR0001770030101222E01_DRCL.JPG,127.309,13.975287,13.887245,127.309,262.9887,0.007093777,2.786314,0.28666687,0.067550659,0.007995605,0.067550659,0.311784257,0.311915526
0178ML0006460000105248E01_DRCL.JPG,135.63116,14.459247,14.07523,135.63116,317.88135,0.285974175,2.6486444,0.047836304,0.012512207,0.002410889,0.012512207,0.24031936,0.240763434
0044MR0002011240102503E01_DRCL.JPG,125.44946,13.721287,14.005543,125.44946,174.28268,-0.744509995,5.090555,0.25894165,0.0574646,0.005783081,0.0574646,0.326483575,0.32667291
0072MR0005610060103631E01_DRCL.JPG,138.07117,14.205075,14.89872,138.07117,234.4609,-0.628332853,3.1020575,0.053543091,0.013870239,0.00302124,0.013870239,0.256665132,0.256974684
0279MH0002670020103135C00_DRCL.JPG,133.65454,14.22505,14.018291,133.65454,254.2803,-0.04265495,3.629622,0.215118408,0.042098999,0.004089355,0.042098999,0.32572014,0.326689418
0279MH0002700050103092I01_DRCL.JPG,100.18344,12.927344,13.735901,100.18344,494.1443,0.890179515,2.8399005,0.046600342,0.016204834,0.002578735,0.016204834,0.25508103,0.255215811
0050MR0002290560102821E01_DRCL.JPG,135.22379,13.568527,13.53354,135.22379,208.76598,-0.473646373,4.2410483,0.207504272,0.04385376,0.004226685,0.04385376,0.315441867,0.317294011
0292MH0002810020103614I01_DRCL.JPG,113.29888,13.588485,14.141513,113.29888,376.6379,0.510186076,3.135942,0.047790527,0.017364502,0.002426147,0.017364502,0.23944147,0.240326344
0049MR0002240110102746E01_DRCL.JPG,108.82767,13.909797,13.724054,108.82767,187.4016,-0.299421638,5.2148256,0.277496338,0.070098877,0.007476807,0.070098877,0.329875735,0.331310297
0584MH0003620020202309I01_DRCL.JPG,122.34346,14.576115,14.821543,122.34346,452.49762,0.586670697,1.781971,0.076126099,0.021743774,0.002624512,0.021743774,0.259641593,0.259713795
0019ML0000540420100323I01_DRCL.JPG,86.32657,13.95225,14.416957,86.32657,575.701,0.804233313,1.5591154,0.348175049,0.089324951,0.008209229,0.089324951,0.330545971,0.332364248
0157ML0008550010104530I01_DRCL.JPG,100.920746,14.343797,15.295864,100.920746,469.3423,0.278977454,1.462821,0.084991455,0.017868042,0.002853394,0.017868042,0.260330491,0.261062523
0019ML0000540680100349B00_DRCL.JPG,131.23535,13.728136,13.818651,131.23535,177.28539,-0.639160991,4.066632,0.361175537,0.103088379,0.010162354,0.103088379,0.336687157,0.338065745
0584MH0003620020202296I01_DRCL.JPG,122.90524,15.728285,15.785091,122.90524,362.02924,0.597173572,2.589787,0.075393677,0.016921997,0.002853394,0.016921997,0.272297574,0.272491548
0050MR0002290280102793E01_DRCL.JPG,137.25983,14.248718,14.082799,137.25983,225.3852,-0.103797987,1.9263582,0.406784058,0.119415283,0.012237549,0.119415283,0.327275431,0.328009397
0003ML0000000440100064E01_DRCL.JPG,124.42914,14.520681,14.782021,124.42914,201.12547,-0.971593082,6.500695,0.079833984,0.015975952,0.003005981,0.015975952,0.259785083,0.259996695
0158MR0008590040201341I01_DRCL.JPG,130.60876,15.015313,14.967854,130.60876,313.9965,0.161253542,2.063212,0.096450806,0.015411377,0.002960205,0.015411377,0.233897875,0.23422632
