Filename,MFDMA,Symmetry_X,Symmetry_Y,Amp_Mean,Amp_Variance,Amp_Skewness,Amp_Kurtosis,MGG_0,MGG_1,MGG_2,MGG_3,MGG_4,MGG_5,MGG_6,MGG_7,MGG_8,MGG_9,Edge_0,Edge_1,Edge_2,Edge_3,Edge_4,Edge_5,Edge_6,Edge_7,Edge_8,Edge_9
0042MR0001940470102262E01_DRCL.JPG,108.44777,13.437212,13.393375,108.44777,216.86563,-0.06666072458028793,4.1608276,0.448974609375,0.1435546875,0.00927734375,0.0,0.0,0.1435546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3519218615340438,0.35444444444444495
0154ML0008510220104513I01_DRCL.JPG,122.83995,14.129963,13.8479805,122.83995,407.07043,0.33311283588409424,1.2100859,0.752685546875,0.394287109375,0.058349609375,0.0,0.0,0.394287109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2996150531456525,0.30097393689986346
0039MR0001770030101222E01_DRCL.JPG,127.309,13.975287,13.887245,127.309,262.9887,0.007093777414411306,2.786314,0.729248046875,0.354736328125,0.0517578125,0.0,0.0,0.354736328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3513817868428644,0.3540054869684504
0178ML0006460000105248E01_DRCL.JPG,135.63116,14.459247,14.07523,135.63116,317.88135,0.2859741747379303,2.6486444,0.748291015625,0.40625,0.06201171875,0.0,0.0,0.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34193622522264056,0.3439094650205767
0044MR0002011240102503E01_DRCL.JPG,125.44946,13.721287,14.005543,125.44946,174.28268,-0.7445099949836731,5.090555,0.797607421875,0.427001953125,0.062255859375,0.0,0.0,0.427001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38901465096237114,0.38956104252400536
0072MR0005610060103631E01_DRCL.JPG,138.07117,14.205075,14.89872,138.07117,234.4609,-0.6283328533172607,3.1020575,0.8505859375,0.546142578125,0.093017578125,0.0,0.0,0.546142578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37503429355281204,0.37714449870727146
0279MH0002670020103135C00_DRCL.JPG,133.65454,14.22505,14.018291,133.65454,254.2803,-0.04265495017170906,3.629622,0.8056640625,0.465576171875,0.0810546875,0.0,0.0,0.465576171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3468312757201649,0.35171502441827474
0279MH0002700050103092I01_DRCL.JPG,100.18344,12.927344,13.735901,100.18344,494.1443,0.8901795148849487,2.8399005,0.132080078125,0.063720703125,0.009033203125,0.0,0.0,0.063720703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22046639231824472,0.2207526572823922
0050MR0002290560102821E01_DRCL.JPG,135.22379,13.568527,13.53354,135.22379,208.76598,-0.4736463725566864,4.2410483,0.8466796875,0.5166015625,0.08837890625,0.0,0.0,0.5166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3739506172839497,0.37444412525136817
0292MH0002810020103614I01_DRCL.JPG,113.29888,13.588485,14.141513,113.29888,376.6379,0.5101860761642456,3.135942,0.560791015625,0.20361328125,0.021240234375,0.0,0.0,0.20361328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3040877914951997,0.3081643205975333
0049MR0002240110102746E01_DRCL.JPG,108.82767,13.909797,13.724054,108.82767,187.4016,-0.29942163825035095,5.2148256,0.414794921875,0.121337890625,0.01220703125,0.0,0.0,0.121337890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3782990397805216,0.3815914966963562
0584MH0003620020202309I01_DRCL.JPG,122.34346,14.576115,14.821543,122.34346,452.49762,0.5866706967353821,1.781971,0.546142578125,0.233642578125,0.03515625,0.0,0.0,0.233642578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25267451881643554,0.2538545953360769
